OID_,CID,L5_20001227_NIR,L5_20010128_NIR,L5_20010418_NIR,L5_20021201_NIR,L5_20030219_NIR,L5_20031220_NIR,L5_20040410_NIR,L5_20041222_NIR,L5_20050312_NIR,L5_20051123_NIR,L5_20060227_NIR,L5_20070129_NIR,L5_20080421_NIR,L5_20081030_NIR,L5_20090118_NIR,L5_20090307_NIR,L5_20101207_NIR,L5_20101223_NIR,L5_20110108_NIR,L5_20110313_NIR,L5_20110430_NIR
193,1,0.223912500000000,0.222537500000000,0.238377500000000,0.209585000000000,0.216570000000000,0.189895000000000,0.222785000000000,0.215882500000000,0.222977500000000,0.201885000000000,0.203700000000000,0.197237500000000,0.206367500000000,0.199795000000000,0.194487500000000,0.208182500000000,0.187420000000000,0.189757500000000,0.197732500000000,0.206780000000000,0.201032500000000
194,1,0.195807500000000,0.196412500000000,0.226112500000000,0.225507500000000,0.212087500000000,0.222262500000000,0.241842500000000,0.244152500000000,0.215607500000000,0.231667500000000,0.200070000000000,0.225397500000000,0.244647500000000,0.230375000000000,0.242640000000000,0.236755000000000,0.237690000000000,0.246682500000000,0.224435000000000,0.237635000000000,0.250285000000000
195,1,0.160360000000000,0.153457500000000,0.317440000000000,0.179197500000000,0.131567500000000,0.136985000000000,0.212335000000000,0.143557500000000,0.123785000000000,0.163165000000000,0.147352500000000,0.142072500000000,0.285897500000000,0.196000000000000,0.168280000000000,0.179912500000000,0.147985000000000,0.159452500000000,0.145592500000000,0.207330000000000,0.331437500000000
196,1,0.231887500000000,0.233840000000000,0.218605000000000,0.225617500000000,0.226332500000000,0.222290000000000,0.220365000000000,0.221960000000000,0.200317500000000,0.207275000000000,0.200042500000000,0.202297500000000,0.220227500000000,0.221877500000000,0.221492500000000,0.224270000000000,0.222730000000000,0.230265000000000,0.224545000000000,0.214782500000000,0.220585000000000
197,1,0.237662500000000,0.233372500000000,0.299345000000000,0.235737500000000,0.235682500000000,0.216900000000000,0.295577500000000,0.227350000000000,0.207907500000000,0.216927500000000,0.212390000000000,0.197815000000000,0.295715000000000,0.217395000000000,0.189702500000000,0.200372500000000,0.192727500000000,0.186732500000000,0.182387500000000,0.203205000000000,0.331245000000000
198,1,0.208320000000000,0.212307500000000,0.214260000000000,0.204827500000000,0.202545000000000,0.200950000000000,0.219650000000000,0.193855000000000,0.185000000000000,0.192315000000000,0.188025000000000,0.193057500000000,0.209832500000000,0.200125000000000,0.195120000000000,0.204305000000000,0.172735000000000,0.192260000000000,0.176997500000000,0.180132500000000,0.204855000000000
199,1,0.207907500000000,0.175182500000000,0.252897500000000,0.210217500000000,0.174247500000000,0.174357500000000,0.232190000000000,0.188437500000000,0.177465000000000,0.202435000000000,0.167757500000000,0.160552500000000,0.258122500000000,0.230705000000000,0.200290000000000,0.203920000000000,0.182910000000000,0.202710000000000,0.182470000000000,0.207632500000000,0.260377500000000
200,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
201,1,0.214535000000000,0.207137500000000,0.215635000000000,0.220640000000000,0.203040000000000,0.206587500000000,0.227790000000000,0.205377500000000,0.200372500000000,0.211785000000000,0.200317500000000,0.197980000000000,0.223555000000000,0.208842500000000,0.206120000000000,0.199767500000000,0.198007500000000,0.175925000000000,0.187887500000000,0.196082500000000,0.236865000000000
202,1,0.208045000000000,0.212417500000000,0.266262500000000,0.210080000000000,0.202765000000000,0.206477500000000,0.257242500000000,0.216570000000000,0.215662500000000,0.207440000000000,0.212472500000000,0.193112500000000,0.220337500000000,0.200317500000000,0.200180000000000,0.212307500000000,0.197870000000000,0.208595000000000,0.198227500000000,0.219072500000000,0.262577500000000
